access,defibrillator:location,defibrillator:location:pl,description,description:pl,indoor,latitude,location,longitude,note,note:pl,opening_hours,operator,osm_id,phone,wikimedia_commons
,Na ścianie w jadalni,,Schronisko PTTK Markowe Szczawiny,,yes,49.5878956,,19.5168185,,,,PTTK,477958354,+48 33 877 51 05,
yes,Na ścianie przy drzwiach do budynku,,,,no,50.4850338,,19.4352175,,,24/7,,1359759215,,
yes,Na ścianie budynku przy bramce nr 5,,,,no,52.1696788,,20.8122254,,,,,1498557240,,
yes,Przed wejściem do szkoły na ścianie zewnętrznej,,,,no,51.8324336,,16.6019634,,,24/7,Szkoła Podstawowa nr 13 z Oddziałami Integracyjnymi im. Króla Stanisława Leszczyńskiego,1630123844,,
yes,Na parterze (poziom 0) przy kantorze za schodami na poziom -1.,,,,yes,52.2286487,,21.0027619,,,24/7,,1775469258,,https://commons.wikimedia.org/wiki/File:AED – Warszawa Dworzec Centralny Poziom 0.jpg
yes,"W halach przylotów i odlotów
(w części ogólnodostępnej i tranzytowej) zainstalowanych jest 25 automatycznych defibrylatorów (AED).",,,,yes,52.1707513,,20.9725857,,,,,1779456496,,
,,,,,,50.304021,,18.4971014,,,,Ochotnicza Straż Pożarna w Rachowicach,1806319694,,
yes,na ścianie budynku starej łaźni,,,,,54.0966352,,22.9252086,,,,,1962377673,,
,,,,,yes,50.0646815,,19.9398932,,,,,2000506096,,
yes,Przy głównym wejściu do Ogrodu Zoologicznego.,,"W zielonej, podświetlanej kapsule Rotaaid.",,no,50.655795,,17.9231802,,,24/7,Ogród Zoologiczny Opole,2171328078,"+48 77 45 64 267, +48 77 45 42 858",
,"Wyżne 2, 38-120 Czudec",,,,,49.9286767,,21.8737977,,,,OSP Wyżne,2185717278,,
yes,"Na ścianie przy wejściu na lotnisko od strony odlotów, przy sklepie Aelia Beauty",,,,yes,54.3823162,,18.4663521,,,,,2360723894,,
yes,Obok kantoru i bankomatu,,,,yes,49.8317696,,18.9849497,,,Mo-Sa 07:30-22:00,CH Auchan,2460314043,,
