city,longitude,latitude
Adamów (siedleckie),22.15,51.45
Adamów (zamojskie),23.10,50.36
Adamówka,22.42,50.16
Aleksandrów,19.59,51.16
Aleksandrów Kujawski,18.42,52.53
Aleksandrów Łódzki,19.19,51.49
Alwernia,19.32,50.04
Andrespol,19.37,51.44
Andrychów,19.20,49.52
Andrzejewo,22.12,52.50
Annopol,21.52,50.53
Augustów,22.58,53.51
Babiak,18.41,52.20
Babice,19.26,50.04
Babimost,15.50,52.09
Baborów,17.59,50.09
Baboszewo,20.15,52.42
Baćkowice,21.14,50.48
Bakałarzewo,22.39,54.06
Baligród,22.17,49.21
Bałtów,21.32,51.01
Banie,14.38,53.06
Banie Mazurskie,22.03,54.15
Baranowicze,26.02,53.08
Baranowo,21.18,53.11
Baranów (kaliskie),18.00,51.16
Baranów (lubelskie),22.09,51.34
Baranów (skierniewickie),20.28,52.07
Baranów Sandomierski,21.33,50.30
Barciany,21.21,54.13
Barcin,17.57,52.52
Barczewo,20.41,53.50
Bardo,16.45,50.31
Bargłów Kościelny,22.50,53.46
Barlinek,15.13,52.59
Bartoszyce,20.48,54.15
Baruchowo,19.15,52.30
Barwice,16.21,53.44
Batorz,22.30,50.50
Bądkowo,18.47,52.42
Bedlno,19.34,52.13
Bejsce,20.36,50.15
Belsk Duży,20.49,51.50
Bełchatów,19.22,51.22
Bełżyce,22.17,51.10
Bestwina,19.03,49.54
Będków,19.45,51.35
Będzin,19.08,50.19
Będzino,15.59,54.12
Biała (opolskie),17.40,50.23
Biała (sieradzkie),18.27,51.16
Biała Piska,22.04,53.37
Biała Podlaska,23.07,52.02
Biała Rawska,20.29,51.48
Białaczów,20.18,51.18
Białe Błota,17.55,53.06
Białobrzegi (rzeszow.),22.21,50.07
Białobrzegi (radomskie),20.57,51.39
Białogard,15.59,54.00
Białopole,23.44,50.59
Białośliwie,17.07,53.06
Białowieża,23.52,52.42
Biały Bór,16.50,53.44
Biały Dunajec,20.02,49.22
Białystok,23.10,53.08
Biecz,21.16,49.44
Bielany,22.15,52.20
Bielawa,16.37,50.42
Bielawy,19.39,52.04
Bielice,14.43,53.12
Bieliny,20.55,50.51
Bielsk,19.48,52.41
Bielsk Podlaski,23.12,52.46
Bielsko-Biała,19.04,49.50
Bierawa,18.16,50.17
Bierutów,17.33,51.07
Bierzwnik,15.40,53.02
Biesiekierz,16.03,54.08
Bieżuń,19.52,52.57
Biłgoraj,22.43,50.32
Bircza,22.28,49.42
Biskupice,20.07,49.58
Biskupiec (toruńskie),19.21,53.30
Biskupiec (olsztyńskie),20.57,53.52
Biszcza,22.38,50.25
Bisztynek,20.54,54.05
Blachownia,18.58,50.47
Bledzew,15.24,52.31
Blizanów,18.01,51.54
Bliżyn,20.45,51.06
Błaszki,18.26,51.39
Błażowa,22.06,49.54
Błędów,20.42,51.47
Błonie,20.36,52.12
Bobolice,16.35,53.57
Bobowa,20.57,49.43
