name,phone,email,city,street,buildNr,postalCode,specialization,lat,lon
Szpitalny oddział ratunkowy,864775559,sor@szpitalwysmaz.pl,Wysokie Mazowieckie,Szpitalna,5,18-200,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,85 83 34 302,sor@spzoz-bielsk.pl,Bielsk Podlaski,Kleszczelowska,1,17-100,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,85 68 29 247,sor2@spzozhajnowka.pl,Hajnówka,Doc. Adama Dowgirda,9,17-200,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy, 85 72 20 541 ,sor@szpitalsokolka.pl,Sokółka,gen. Władysława Sikorskiego,40,16-100,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,85 74 88 100,sor@sniadecja.pl,Białystok,M. Curie-Skłodowskiej,25,15-950,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,86 27 28 286,sor@szpital-grajewo.pl,Grajewo,Konstytucji 3-go Maja,34,19-200,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,87 56 29 244,sor@szpital.suwalki.pl,Suwałki,Szpitalna,60,16-400,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,86 47 33 291,sor@szpital-lomza.pl,Łomża,Aleja Józefa Piłsudskiego,11,18-404,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy, 85 83 18 317,sor-usk@uskwb.pl,Białystok,M. Curie-Skłodowskiej,24A,15-276,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy dla dzieci,85 74 50 676,sor@udsk.pl,Białystok,Jerzego Waszyngtona,17,15-274,Szpitalny oddział ratunkowy dla dzieci,52.9154671,22.52234943288953
Izba przyjęć szpitala,85 727 91 70,szpital@spzoz.knyszyn.pl,Knyszyn,Grodzieńska,96,19-120,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,47 710 42 00,izba@zozmswia.bialystok.pl,Białystok,Fabryczna,27,15-471,Izba przyjęć szpitala,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,87 64 44 200,sor@spzoz.augustow.pl,Augustów,Szpitalna,12,16-300,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Izba przyjęć szpitala,85 71 21 206,sekretariat@spzoz-dabrowa.pl,Dąbrowa Białostocka,Marii Skłodowskiej-Curie,15,16-200,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,668877540,izba_przyjec@szpital-monki.h2.pl,Mońki,Aleja Niepodległości,9,19-100,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,875172301,sekretariat@szpital.sejny.pl,Sejny,Dr Edwarda Rittlera,1,16-500,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,85 65 52 421,izbaprzyjec@spzozsiemiatycze.pl,Siemiatycze,Szpitalna,8,17-300,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,85 66 48 516,izba@szpitalpck.pl,Białystok,Sienkiewicza,79,15-003,Izba przyjęć szpitala,52.9154671,22.52234943288953
Izba przyjęć szpitala,86 273 93 01,izbaprzyjec@szpitalkolno.pl,Kolno,Wojska Polskiego,69,18-500,Izba przyjęć szpitala,52.9154671,22.52234943288953
Szpitalny oddział ratunkowy,86 27 63 632,izbap@szpitalzambrow.pl,Zambrów,Papieża Jana Pawła II,3,18-300,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
